Field,Type,Null,Key,Default,Extra
id,int,NO,MUL,NULL,
sl,"int unsigned",YES,,NULL,
requirement,varchar(500),YES,,NULL,
unit,text,YES,,NULL,
qty,text,YES,,NULL,
item_name,text,YES,,NULL,
item_desc,text,YES,,NULL,
brand,varchar(100),YES,,NULL,
qty_num,varchar(10),YES,,NULL,
unit_rate,varchar(10),YES,,NULL,
discount_price,varchar(10),YES,,NULL,
gst,int,YES,,NULL,
itemid_lk,varchar(50),YES,MUL,NULL,
itemid_sc,varchar(50),YES,MUL,NULL,
marked,varchar(5),YES,,false,
sku,varchar(100),YES,,NULL,
remarks,text,YES,,NULL,
formula_disc,varchar(100),YES,,NULL,
po_no,varchar(20),YES,,NULL,
internal_migration_id,"int unsigned",NO,PRI,NULL,auto_increment
